beer_name,brewery_name,beer_type,simple_style,beer_abv,beer_ibu,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,brewery_country,brewery_city,brewery_state,week,month
Snake Dog IPA,Flying Dog Brewery,IPA - American,American IPA,7.1,60,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.75,2017-07-06 23:02:24,United States,Frederick,MD,90,31
Raging Bitch Belgian IPA,Flying Dog Brewery,IPA - Belgian,American IPA,8.3,60,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,2.75,2017-07-06 23:21:41,United States,Frederick,MD,90,31
Bloodline Blood Orange Ale,Flying Dog Brewery,IPA - American,American IPA,7.0,40,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.0,2017-07-07 00:03:37,United States,Frederick,MD,90,31
Highland Pilsner,Highland Brewing Company,Pilsner - German,Pilsner,5.5,35,Clawson's 1905,Beaufort,NC,United States,34.7167,-76.6651,3.0,2017-07-07 18:14:48,United States,Asheville,NC,90,31
Highland IPA,Highland Brewing Company,IPA - American,American IPA,7.0,70,Clawson's 1905,Beaufort,NC,United States,34.7167,-76.6651,3.75,2017-07-07 18:16:14,United States,Asheville,NC,90,31
Daycation,Highland Brewing Company,IPA - Session / India Session Ale,American IPA,4.9,40,Clawson's 1905,Beaufort,NC,United States,34.7167,-76.6651,4.0,2017-07-07 18:19:35,United States,Asheville,NC,90,31
Hawaiian Lounge Juice Extra IPA,Highland Brewing Company,IPA - Imperial / Double,Imperial IPA,8.0,65,Clawson's 1905,Beaufort,NC,United States,34.7167,-76.6651,3.5,2017-07-07 18:21:08,United States,Asheville,NC,90,31
Gaelic Ale,Highland Brewing Company,Red Ale - American Amber / Red,Red Ale,5.6,30,Clawson's 1905,Beaufort,NC,United States,34.7167,-76.6651,3.0,2017-07-07 18:22:33,United States,Asheville,NC,90,31
Oatmeal Porter,Highland Brewing Company,Porter - American,Porter,5.9,35,Clawson's 1905,Beaufort,NC,United States,34.7167,-76.6651,2.75,2017-07-07 18:25:04,United States,Asheville,NC,90,31
Jalapeño Johnson,Gnometown Brewing,IPA - American,American IPA,6.3,0,Gnometown Brewing Co.,Fort Wayne,IN,United States,41.0799,-85.1379,3.0,2017-07-15 14:32:08,United States,Fort Wayne,IN,91,31
"Stapler, IPA",Gnometown Brewing,IPA - American,American IPA,8.3,72,Gnometown Brewing Co.,Fort Wayne,IN,United States,41.0799,-85.1379,3.75,2017-07-15 14:33:28,United States,Fort Wayne,IN,91,31
